Operating System,Operating System Version,Browser,Browser Version,Device Category,Pageviews
Android,9,Chrome,69.0.3497.128,mobile,4
Android,9,Chrome,71.0.3578.141,mobile,1
Android,9,Chrome,74.0.3729.136,mobile,2
Android,9,Chrome,74.0.3729.157,mobile,1
Android,9,Chrome,76.0.3809.111,mobile,1
Android,9,Chrome,77.0.3865.73,mobile,2
Android,9,Chrome,77.0.3865.92,mobile,3
Android,9,Chrome,78.0.3904.108,mobile,64
Android,9,Chrome,78.0.3904.90,mobile,1
Android,9,Chrome,78.0.3904.96,mobile,2
Android,9,Chrome,79.0.3945.116,mobile,107
Android,9,Chrome,79.0.3945.136,mobile,61
Android,9,Chrome,79.0.3945.93,mobile,89
Android,9,Chrome,80.0.3987.18,mobile,1
Chrome OS,aarch64,Chrome,79.0.3945.123,desktop,2
Chrome OS,x86_64,Chrome,76.0.3809.136,desktop,1
Chrome OS,x86_64,Chrome,79.0.3945.123,desktop,7
Chrome OS,x86_64,Chrome,79.0.3945.86,desktop,7
Chrome OS,x86_64,Chrome,80.0.3987.58,desktop,1
iOS,10.3.3,Chrome,71.0.3578.89,tablet,1
iOS,12.4,Chrome,79.0.3945.73,mobile,1
iOS,12.4,Chrome,79.0.3945.73,tablet,1
iOS,13.1,Chrome,79.0.3945.73,mobile,3
iOS,13.1,Chrome,79.0.3945.73,tablet,3
iOS,13.2,Chrome,79.0.3945.73,mobile,1
iOS,13.3,Chrome,79.0.3945.73,mobile,41
iOS,13.3,Chrome,79.0.3945.73,tablet,8
Linux,armv7l,Chrome,78.0.3904.108,desktop,1
Linux,x86_64,Chrome,55.0.2883.75,desktop,4
Linux,x86_64,Chrome,60.0.3112.78,desktop,1
Linux,x86_64,Chrome,66.0.3359.181,desktop,1
Linux,x86_64,Chrome,67.0.3396.79,desktop,1
Linux,x86_64,Chrome,70.0.3538.77,desktop,3
Linux,x86_64,Chrome,72.0.3626.109,desktop,1
Linux,x86_64,Chrome,72.0.3626.119,desktop,1
Linux,x86_64,Chrome,72.0.3626.81,desktop,2
Linux,x86_64,Chrome,73.0.3683.75,desktop,2
Linux,x86_64,Chrome,74.0.3729.169,desktop,1
Linux,x86_64,Chrome,75.0.3770.100,desktop,1
Linux,x86_64,Chrome,75.0.3770.80,desktop,1
Linux,x86_64,Chrome,76.0.3809.100,desktop,5
Linux,x86_64,Chrome,76.0.3809.132,desktop,3
Linux,x86_64,Chrome,77.0.3865.120,desktop,2
Linux,x86_64,Chrome,77.0.3865.129,desktop,6
Linux,x86_64,Chrome,77.0.3865.90,desktop,2
Linux,x86_64,Chrome,78.0.3904.108,desktop,30
Linux,x86_64,Chrome,78.0.3904.87,desktop,1
Linux,x86_64,Chrome,78.0.3904.97,desktop,2
Linux,x86_64,Chrome,79.0.3945.117,desktop,43
Linux,x86_64,Chrome,79.0.3945.130,desktop,41
Linux,x86_64,Chrome,79.0.3945.79,desktop,23
Linux,x86_64,Chrome,79.0.3945.88,desktop,46
Linux,x86_64,Chrome,80.0.3964.0,desktop,1
Linux,x86_64,Chrome,80.0.3987.42,desktop,1
Macintosh,Intel 10.10,Chrome,73.0.3683.86,desktop,1
Macintosh,Intel 10.11,Chrome,47.0.2526.106,desktop,1
Macintosh,Intel 10.11,Chrome,79.0.3945.130,desktop,2
Macintosh,Intel 10.11,Chrome,79.0.3945.88,desktop,4
Macintosh,Intel 10.12,Chrome,78.0.3904.108,desktop,1
Macintosh,Intel 10.12,Chrome,79.0.3945.117,desktop,3
Macintosh,Intel 10.12,Chrome,79.0.3945.130,desktop,9
Macintosh,Intel 10.12,Chrome,79.0.3945.88,desktop,6
Macintosh,Intel 10.13,Chrome,72.0.3626.119,desktop,9
Macintosh,Intel 10.13,Chrome,73.0.3683.103,desktop,7
Macintosh,Intel 10.13,Chrome,78.0.3904.108,desktop,4
Macintosh,Intel 10.13,Chrome,78.0.3904.87,desktop,1
Macintosh,Intel 10.13,Chrome,79.0.3945.117,desktop,23
Macintosh,Intel 10.13,Chrome,79.0.3945.130,desktop,24
